DEBUG 20:38:24,060 [main] DefaultTpsRouter | Recalculating desired tps per node...
DEBUG 20:38:24,060 [main] DefaultTpsRouter | For node kernel-1 desired tps 5.000 max tps 11
DEBUG 20:38:24,060 [main] DefaultTpsRouter | Node kernel-1 tps should not be changed
DEBUG 20:38:24,060 [main] DefaultTpsRouter | For node kernel-2 desired tps 5.000 max tps 11
DEBUG 20:38:24,060 [main] DefaultTpsRouter | Node kernel-2 tps should not be changed
DEBUG 20:38:24,061 [main] DefaultTpsRouter | Going to detect max tps for node kernel-1
DEBUG 20:38:24,061 [main] DefaultTpsRouter | Max tps for node kernel-1 cannot be detected. Using desired tps as max
DEBUG 20:38:24,061 [main] DefaultTpsRouter | Max tps for node kernel-1 is 10
DEBUG 20:38:24,061 [main] DefaultTpsRouter | Going to detect max tps for node kernel-2
DEBUG 20:38:24,062 [main] DefaultTpsRouter | Max tps for node kernel-2 cannot be detected. Using desired tps as max
DEBUG 20:38:24,062 [main] DefaultTpsRouter | Max tps for node kernel-2 is 10
DEBUG 20:38:24,062 [main] DefaultTpsRouter | Recalculating desired tps per node...
DEBUG 20:38:24,062 [main] DefaultTpsRouter | For node kernel-1 desired tps 5.000 max tps 10
DEBUG 20:38:24,062 [main] DefaultTpsRouter | Node kernel-1 tps should not be changed
DEBUG 20:38:24,062 [main] DefaultTpsRouter | For node kernel-2 desired tps 5.000 max tps 10
DEBUG 20:38:24,062 [main] DefaultTpsRouter | Node kernel-2 tps should not be changed
DEBUG 20:38:24,064 [main] DefaultTpsRouter | Going to detect max tps for node kernel-1
DEBUG 20:38:24,064 [main] DefaultTpsRouter | Max tps for node kernel-1 is 2
DEBUG 20:38:24,064 [main] DefaultTpsRouter | Going to detect max tps for node kernel-2
DEBUG 20:38:24,064 [main] DefaultTpsRouter | Max tps for node kernel-2 is 2
DEBUG 20:38:24,064 [main] DefaultTpsRouter | Recalculating desired tps per node...
DEBUG 20:38:24,064 [main] DefaultTpsRouter | For node kernel-1 desired tps 5.000 max tps 2
DEBUG 20:38:24,064 [main] DefaultTpsRouter | Cannot increase tps at node kernel-1 to 5.000
DEBUG 20:38:24,065 [main] DefaultTpsRouter | 3.000 tps should be produced by other nodes
